F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
16.939,18.564,24.028,23.203
17.514,23.792,22.913,20.601
17.538,20.785,21.459,23.579
18.077,24.043,21.644,19.205
18.107,22.365,23.21,24.568
18.352,22.964,23.669,21.867
18.455,20.354,18.713,19.979
18.518,19.776,22.751,20.969
18.572,19.137,23.857,21.366
18.597,22.693,23.869,24.19
18.612,22.273,24.707,22.341
18.62,20.052,24.038,24.515
18.62,20.972,20.426,22.56
18.633,23.296,19.194,22.153
18.661,22.821,20.778,22.376
18.67,21.64,22.537,21.928
18.835,23.133,21.205,22.472
18.904,20.821,23.774,21.538
18.939,22.657,22.298,20.8
19.042,20.677,22.504,20.689
19.06,20.895,22.562,21.333
19.071,21.777,23.92,22.084
19.094,20.055,23.734,23.742
19.094,22.685,23.001,22.572
19.198,17.841,22.997,21.329
19.248,20.786,24.277,23.771
19.25,21.559,21.982,22.324
19.281,19.623,23.509,23.075
19.294,21.048,22.132,23.494
19.31,23.557,23.299,21.068
19.358,19.384,21.243,20.52
19.404,24.488,22.364,23.032
19.431,21.19,24.146,22.885
19.44,21.584,22.874,20.373
19.448,22.176,23.873,23.417
19.461,22.374,22.195,20.943
19.546,22.571,21.582,21.51
19.556,22.415,23.206,20.475
19.583,20.375,23.047,24.267
19.621,20.869,21.402,22.322
19.628,21.775,24.044,20.239
19.628,22.138,23.282,22.427
19.646,24.281,23.199,23.118
19.666,19.829,19.794,22.494
19.666,22.38,21.676,22.095
19.671,19.416,23.857,22.086
19.701,21.635,23.662,21.2
19.724,21.119,22.926,21.848
19.731,22.791,22.28,22.166
19.749,20.718,22.705,19.176
19.762,23.477,22.629,20.83
19.785,22.214,24.311,21.07
19.8,19.724,24.39,21.793
19.803,23.914,23.028,21.5
19.837,20.761,22.714,21.651
19.839,22.178,24.056,23.048
19.861,21.582,21.629,20.318
19.889,23.715,24.873,22.519
19.895,16.764,22.76,21.595
19.9,22.534,22.274,21.287
19.906,22.641,17.175,19.058
19.907,19.531,23.257,19.924
19.911,22.159,22.228,19.645
19.914,24.255,23.303,22.806
19.927,21.751,21.529,22.934
19.934,21.171,23.573,21.763
19.954,18.552,23.523,24.108
19.993,22.092,22.952,22.03
19.994,23.366,23.043,22.134
20.008,20.899,22.513,22.387
20.012,22.361,22.6,22.743
20.032,19.73,24.153,20.766
20.032,21.88,21.593,20.873
20.041,23.074,23.432,21.489
20.057,21.239,23.77,20.172
20.057,23.045,23.692,21.869
20.087,23.671,21.565,20.517
20.091,21.981,21.318,20.579
20.094,22.332,22.606,21.377
20.096,21.488,20.97,22.229
20.104,20.701,22.201,22.092
20.13,18.554,21.059,22.104
20.138,24.089,19.7,21.864
20.154,23.304,22.114,23.373
20.157,21.817,21.683,21.816
20.158,18.869,24.52,23.882
20.159,24.242,23.734,21.892
20.163,20.583,23.512,20.813
20.173,18.757,23.044,22.129
20.182,18.893,23.408,19.776
20.193,19.551,23.298,23.776
20.2,18.416,19.561,23.307
20.232,23.049,21.301,21.463
20.246,19.918,22.752,19.87
20.247,21.761,23.58,21.87
20.265,22.902,21.292,21.846
20.265,20.637,23.451,22.342
20.268,22.659,22.521,20.422
20.313,20.83,22.236,23.078
20.316,23.923,22.65,21.965
20.321,22.309,23.73,21.34
20.323,21.83,24.254,20.856
20.342,24.256,20.798,20.818
20.356,21.703,20.736,21.429
20.357,19.44,22.695,21.421
20.365,22.956,21.297,21.064
20.368,22.916,22.898,22.845
20.375,18.649,23.896,20.496
20.381,21.758,22.98,19.588
20.398,23.447,22.06,22.378
20.401,24.116,23.058,21.669
20.403,24.456,24.473,19.072
20.411,21.991,22.417,22.788
20.426,23.014,22.244,21.792
20.456,23.33,21.957,22.002
20.458,18.32,24.293,19.917
20.458,23.118,21.485,21.897
20.468,22.979,22.47,23.775
20.493,24.264,22.584,21.948
20.495,20.25,21.896,20.909
20.509,22.457,20.848,20.709
20.512,20.85,22.892,19.672
20.517,24.06,23.889,22.735
20.519,21.256,22.122,22.046
20.531,21.929,22.193,22.208
20.543,20.555,22.23,19.642
20.547,22.039,20.847,22.422
20.569,21.269,23.393,22.274
20.589,22.089,22.344,22.205
20.598,22.612,21.668,22.519
20.599,21.634,22.519,21.916
20.607,18.403,23.391,22.497
20.619,20.049,22.297,21.846
20.624,21.526,22.668,23.456
20.626,20.743,22.027,21.102
20.627,21.546,22.214,20.808
20.627,21.969,22.728,20.597
20.634,21.864,23.03,24.018
20.64,21.879,23.576,21.936
20.64,19.717,22.652,19.981
20.642,21.399,23.121,24.097
20.647,23.653,20.727,21.32
20.648,21.513,22.229,20.288
20.654,20.532,23.47,22.041
20.655,21.327,22.118,22.852
20.663,22.566,20.903,24.143
20.665,23.299,22.837,21.889
20.688,22.047,22.489,21.695
20.707,22.488,23.391,23.716
20.719,19.793,24.153,21.257
20.72,22.3,22.886,21.594
20.735,22.146,22.897,21.834
20.744,19.276,20.396,21.147
20.746,22.187,22.171,22.999
20.747,19.192,20.821,22.186
20.75,22.314,21.727,23.203
20.756,22.43,22.486,24.091
20.77,21.722,21.809,20.704
20.771,23.072,24.289,22.863
20.807,23.414,21.639,22.555
20.808,22.737,24.323,22.957
20.809,19.614,23.932,19.096
20.809,22.581,24.194,21.821
20.815,21.686,23.4,20.092
20.816,23.256,21.705,20.953
20.818,23.225,24.551,22.906
20.819,21.826,22.735,20.875
20.846,20.556,21.522,19.028
20.854,21.564,20.179,23.987
20.856,21.508,24.56,22.346
20.866,21.928,22.22,21.328
20.879,24.461,24.047,24.219
20.899,21.404,23.49,19.653
20.901,22.664,22.91,22.182
20.902,21.312,24.691,21.922
20.906,19.339,23.404,21.812
20.914,22.298,21.274,20.923
20.919,24.109,18.418,21.824
20.923,19.145,23.737,21.48
20.935,23.321,24.342,23.142
20.943,21.029,23.321,23.386
20.945,23.236,22.279,20.402
