Z,Age,mbol,F170W,F218W,F255W,F300W,F336W,F380W,F439W,F450W,F555W,F569W,F606W,F622W,F675W,F702W,F791W,F814W,F850LP
0.004,3.98E+06,-0.634,-0.819,-0.446,-0.139,0.23,0.548,1.578,1.806,1.754,1.691,1.666,1.61,1.572,1.492,1.472,1.343,1.339,1.256
0.004,4.47E+06,-0.599,-0.801,-0.429,-0.124,0.233,0.537,1.454,1.634,1.574,1.49,1.463,1.412,1.374,1.303,1.286,1.171,1.167,1.083
0.004,5.01E+06,-0.554,-0.778,-0.411,-0.109,0.241,0.538,1.389,1.561,1.509,1.445,1.422,1.378,1.346,1.285,1.27,1.168,1.163,1.084
0.004,5.62E+06,-0.499,-0.764,-0.409,-0.116,0.228,0.522,1.385,1.575,1.534,1.503,1.487,1.449,1.423,1.372,1.359,1.27,1.267,1.201
0.004,6.31E+06,-0.438,-0.758,-0.422,-0.141,0.195,0.487,1.376,1.596,1.576,1.612,1.611,1.592,1.582,1.558,1.552,1.503,1.503,1.473
0.004,7.08E+06,-0.363,-0.707,-0.376,-0.097,0.244,0.542,1.485,1.727,1.714,1.763,1.763,1.736,1.723,1.685,1.671,1.586,1.583,1.515
0.004,7.94E+06,-0.29,-0.671,-0.352,-0.083,0.251,0.542,1.465,1.709,1.706,1.796,1.807,1.801,1.805,1.8,1.797,1.772,1.774,1.763
0.004,8.91E+06,-0.209,-0.602,-0.292,-0.029,0.297,0.581,1.489,1.728,1.724,1.809,1.819,1.813,1.816,1.811,1.808,1.785,1.788,1.783
0.004,1.00E+07,-0.117,-0.515,-0.208,0.051,0.374,0.656,1.554,1.789,1.785,1.866,1.874,1.866,1.866,1.856,1.851,1.816,1.817,1.797
0.004,1.12E+07,-0.025,-0.436,-0.135,0.12,0.443,0.725,1.637,1.876,1.873,1.957,1.966,1.958,1.959,1.949,1.943,1.907,1.908,1.889
0.004,1.26E+07,0.071,-0.352,-0.054,0.198,0.527,0.815,1.771,2.02,2.019,2.104,2.113,2.101,2.1,2.084,2.075,2.024,2.025,1.993
0.004,1.41E+07,0.165,-0.258,0.034,0.281,0.607,0.892,1.849,2.097,2.094,2.169,2.175,2.157,2.152,2.127,2.115,2.046,2.045,1.997
0.004,1.58E+07,0.265,-0.153,0.133,0.375,0.696,0.976,1.922,2.164,2.157,2.215,2.217,2.192,2.18,2.142,2.127,2.037,2.034,1.967
0.004,1.78E+07,0.353,-0.045,0.233,0.465,0.774,1.044,1.952,2.178,2.165,2.194,2.188,2.151,2.13,2.075,2.054,1.935,1.93,1.835
0.004,2.00E+07,0.458,0.119,0.399,0.628,0.922,1.173,1.965,2.148,2.12,2.093,2.075,2.023,1.989,1.913,1.888,1.742,1.735,1.614
0.004,2.24E+07,0.559,0.251,0.536,0.772,1.084,1.353,2.257,2.449,2.398,2.279,2.237,2.141,2.078,1.944,1.9,1.669,1.656,1.473
0.004,2.51E+07,0.655,0.352,0.629,0.858,1.162,1.424,2.306,2.489,2.436,2.312,2.269,2.174,2.111,1.978,1.934,1.706,1.693,1.513
0.004,2.82E+07,0.753,0.452,0.721,0.942,1.228,1.469,2.292,2.453,2.397,2.274,2.235,2.152,2.095,1.978,1.942,1.743,1.733,1.581
0.004,3.16E+07,0.855,0.548,0.805,1.015,1.287,1.519,2.247,2.398,2.36,2.289,2.261,2.197,2.154,2.062,2.031,1.864,1.854,1.717
0.004,3.55E+07,0.945,0.652,0.9,1.102,1.36,1.579,2.262,2.4,2.361,2.289,2.262,2.201,2.159,2.071,2.042,1.883,1.874,1.743
0.004,3.98E+07,1.044,0.753,0.992,1.186,1.433,1.642,2.288,2.42,2.384,2.322,2.298,2.243,2.204,2.124,2.098,1.95,1.943,1.821
0.004,4.47E+07,1.146,0.862,1.094,1.282,1.521,1.723,2.366,2.492,2.453,2.381,2.355,2.297,2.257,2.173,2.147,1.996,1.988,1.867
0.004,5.01E+07,1.254,0.972,1.197,1.38,1.611,1.806,2.447,2.571,2.531,2.455,2.428,2.37,2.329,2.245,2.219,2.068,2.061,1.942
0.004,5.62E+07,1.349,1.082,1.298,1.472,1.691,1.875,2.482,2.597,2.558,2.482,2.455,2.399,2.359,2.278,2.253,2.108,2.101,1.986
0.004,6.31E+07,1.449,1.194,1.4,1.567,1.774,1.947,2.527,2.636,2.597,2.522,2.496,2.442,2.403,2.325,2.301,2.161,2.154,2.044
0.004,7.08E+07,1.549,1.31,1.508,1.667,1.863,2.027,2.592,2.696,2.655,2.573,2.546,2.491,2.451,2.372,2.348,2.207,2.2,2.092
0.004,7.94E+07,1.649,1.429,1.618,1.77,1.955,2.108,2.658,2.756,2.713,2.624,2.596,2.54,2.5,2.418,2.394,2.253,2.246,2.138
0.004,8.91E+07,1.748,1.548,1.728,1.871,2.044,2.188,2.715,2.808,2.764,2.676,2.647,2.592,2.552,2.471,2.447,2.305,2.298,2.19
0.004,1.00E+08,1.848,1.669,1.838,1.973,2.133,2.266,2.764,2.852,2.811,2.725,2.697,2.644,2.605,2.527,2.503,2.365,2.359,2.253
0.004,1.12E+08,1.951,1.795,1.953,2.079,2.227,2.349,2.823,2.906,2.865,2.781,2.754,2.702,2.664,2.587,2.564,2.428,2.421,2.318
0.004,1.26E+08,2.056,1.923,2.071,2.188,2.322,2.434,2.883,2.962,2.921,2.837,2.811,2.76,2.723,2.648,2.625,2.492,2.486,2.385
0.004,1.41E+08,2.155,2.058,2.195,2.302,2.422,2.522,2.944,3.016,2.974,2.887,2.86,2.809,2.772,2.697,2.674,2.542,2.536,2.436
0.004,1.58E+08,2.26,2.198,2.324,2.422,2.527,2.615,3.014,3.08,3.038,2.946,2.918,2.867,2.829,2.754,2.731,2.599,2.593,2.494
0.004,1.78E+08,2.365,2.342,2.458,2.546,2.635,2.71,3.088,3.148,3.104,3.007,2.978,2.927,2.889,2.813,2.79,2.658,2.652,2.555
0.004,2.00E+08,2.468,2.492,2.597,2.674,2.745,2.806,3.162,3.217,3.169,3.065,3.034,2.982,2.942,2.864,2.841,2.708,2.702,2.605
0.004,2.24E+08,2.569,2.647,2.741,2.807,2.861,2.905,3.243,3.291,3.241,3.126,3.094,3.039,2.997,2.916,2.893,2.755,2.749,2.651
0.004,2.51E+08,2.672,2.807,2.892,2.949,2.984,3.013,3.336,3.378,3.323,3.196,3.16,3.102,3.057,2.971,2.946,2.802,2.795,2.694
0.004,2.82E+08,2.777,2.972,3.046,3.092,3.11,3.122,3.427,3.461,3.404,3.267,3.23,3.169,3.123,3.033,3.008,2.859,2.852,2.748
0.004,3.16E+08,2.886,3.144,3.206,3.241,3.242,3.241,3.518,3.545,3.486,3.342,3.304,3.242,3.194,3.103,3.076,2.925,2.918,2.811
0.004,3.55E+08,2.997,3.323,3.372,3.394,3.378,3.363,3.61,3.629,3.569,3.42,3.38,3.317,3.269,3.176,3.149,2.995,2.988,2.879
0.004,3.98E+08,3.108,3.51,3.543,3.55,3.514,3.483,3.7,3.711,3.649,3.494,3.454,3.391,3.342,3.248,3.221,3.067,3.06,2.951
0.004,4.47E+08,3.225,3.707,3.722,3.713,3.654,3.608,3.794,3.797,3.734,3.574,3.533,3.47,3.42,3.326,3.299,3.146,3.139,3.03
0.004,5.01E+08,3.338,3.916,3.909,3.882,3.798,3.734,3.89,3.885,3.819,3.653,3.611,3.546,3.495,3.4,3.374,3.219,3.212,3.104
