Z,Age,mbol,F170W,F218W,F255W,F300W,F336W,F380W,F439W,F450W,F555W,F569W,F606W,F622W,F675W,F702W,F791W,F814W,F850LP
0.0001,1.27E+10,5.839,8.565,8.069,7.412,6.881,6.562,6.77,6.743,6.56,6.136,6.04,5.902,5.807,5.622,5.577,5.322,5.309,5.138
0.0002,1.27E+10,5.82,8.81,8.23,7.537,6.943,6.598,6.795,6.753,6.561,6.119,6.022,5.881,5.783,5.596,5.55,5.292,5.279,5.105
0.0003,1.27E+10,5.814,8.978,8.394,7.658,7.008,6.64,6.845,6.793,6.589,6.127,6.027,5.881,5.78,5.588,5.541,5.277,5.263,5.086
0.0004,1.27E+10,5.828,9.118,8.562,7.78,7.077,6.688,6.906,6.847,6.634,6.155,6.052,5.902,5.799,5.603,5.554,5.285,5.271,5.09
0.0005,1.27E+10,5.838,9.219,8.698,7.883,7.135,6.728,6.959,6.893,6.672,6.178,6.074,5.92,5.814,5.615,5.565,5.292,5.278,5.093
0.0006,1.27E+10,5.845,9.289,8.804,7.97,7.185,6.763,7,6.928,6.701,6.196,6.09,5.934,5.826,5.625,5.574,5.297,5.282,5.094
0.0007,1.27E+10,5.844,9.343,8.902,8.048,7.228,6.793,7.031,6.952,6.72,6.205,6.098,5.939,5.83,5.626,5.575,5.294,5.279,5.088
0.0008,1.27E+10,5.877,9.416,9.012,8.142,7.293,6.847,7.088,7.003,6.769,6.247,6.139,5.978,5.868,5.663,5.61,5.327,5.312,5.119
0.0009,1.27E+10,5.873,9.448,9.08,8.198,7.324,6.869,7.108,7.018,6.78,6.252,6.143,5.981,5.87,5.662,5.609,5.323,5.308,5.112
0.001,1.27E+10,5.876,9.48,9.143,8.249,7.354,6.89,7.129,7.035,6.795,6.261,6.152,5.988,5.876,5.668,5.615,5.326,5.311,5.114
0.0011,1.27E+10,5.881,9.514,9.215,8.309,7.389,6.917,7.153,7.054,6.812,6.273,6.163,5.997,5.885,5.675,5.621,5.33,5.315,5.116
0.0012,1.27E+10,5.883,9.545,9.283,8.364,7.422,6.942,7.176,7.072,6.827,6.283,6.172,6.005,5.892,5.68,5.626,5.333,5.318,5.116
0.0013,1.27E+10,5.889,9.574,9.346,8.415,7.452,6.965,7.196,7.088,6.842,6.293,6.183,6.014,5.9,5.688,5.633,5.338,5.323,5.12
0.0014,1.27E+10,5.892,9.599,9.404,8.463,7.48,6.987,7.216,7.104,6.856,6.303,6.191,6.022,5.907,5.694,5.638,5.342,5.326,5.122
0.0015,1.27E+10,5.897,9.624,9.46,8.508,7.506,7.007,7.234,7.119,6.869,6.312,6.201,6.03,5.914,5.7,5.644,5.347,5.331,5.125
0.0016,1.27E+10,5.899,9.645,9.512,8.551,7.531,7.026,7.251,7.132,6.881,6.32,6.208,6.036,5.92,5.704,5.648,5.349,5.333,5.126
0.0017,1.27E+10,5.901,9.665,9.562,8.591,7.555,7.044,7.268,7.145,6.892,6.328,6.215,6.042,5.925,5.709,5.652,5.351,5.335,5.127
0.0018,1.27E+10,5.905,9.685,9.609,8.63,7.578,7.061,7.283,7.158,6.903,6.336,6.223,6.049,5.932,5.715,5.658,5.355,5.339,5.13
0.0019,1.27E+10,5.909,9.703,9.654,8.667,7.599,7.078,7.299,7.17,6.915,6.345,6.231,6.057,5.939,5.721,5.663,5.36,5.343,5.133
0.002,1.27E+10,5.911,9.72,9.697,8.702,7.62,7.094,7.313,7.181,6.924,6.351,6.238,6.062,5.943,5.725,5.667,5.362,5.345,5.134
0.0021,1.27E+10,5.917,9.741,9.753,8.746,7.646,7.115,7.331,7.195,6.937,6.361,6.247,6.071,5.952,5.733,5.674,5.368,5.351,5.139
0.0022,1.27E+10,5.926,9.764,9.807,8.788,7.672,7.137,7.351,7.212,6.953,6.374,6.26,6.083,5.963,5.744,5.685,5.377,5.36,5.147
0.0023,1.27E+10,5.932,9.784,9.861,8.833,7.701,7.16,7.372,7.229,6.968,6.385,6.271,6.092,5.972,5.752,5.693,5.383,5.366,5.152
0.0024,1.27E+10,5.934,9.802,9.913,8.874,7.727,7.181,7.39,7.244,6.981,6.393,6.278,6.099,5.978,5.757,5.697,5.386,5.369,5.153
0.0025,1.27E+10,5.939,9.818,9.961,8.912,7.749,7.199,7.405,7.255,6.991,6.401,6.286,6.106,5.985,5.763,5.703,5.39,5.373,5.156
0.0026,1.27E+10,5.943,9.834,10.006,8.947,7.77,7.215,7.419,7.267,7.001,6.409,6.293,6.113,5.991,5.769,5.708,5.395,5.378,5.16
0.0027,1.27E+10,5.939,9.844,10.05,8.981,7.789,7.23,7.431,7.275,7.007,6.411,6.295,6.114,5.992,5.768,5.707,5.391,5.374,5.155
0.0028,1.27E+10,5.941,9.857,10.092,9.015,7.808,7.246,7.444,7.285,7.017,6.417,6.301,6.119,5.997,5.773,5.711,5.393,5.376,5.156
0.0029,1.27E+10,5.941,9.869,10.133,9.047,7.827,7.261,7.456,7.294,7.025,6.422,6.306,6.123,6.001,5.776,5.713,5.394,5.377,5.156
