Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.004,6.31E+07,1.449,1.774,1.947,2.636,2.597,2.522,2.442,2.154
0.004,7.08E+07,1.549,1.863,2.027,2.696,2.655,2.573,2.491,2.2
0.004,7.94E+07,1.649,1.955,2.108,2.756,2.713,2.624,2.54,2.246
0.004,8.91E+07,1.748,2.044,2.188,2.808,2.764,2.676,2.592,2.298
0.004,1.00E+08,1.848,2.133,2.266,2.852,2.811,2.725,2.644,2.359
0.004,1.12E+08,1.951,2.227,2.349,2.906,2.865,2.781,2.702,2.421
0.004,1.26E+08,2.056,2.322,2.434,2.962,2.921,2.837,2.76,2.486
0.004,1.41E+08,2.155,2.422,2.522,3.016,2.974,2.887,2.809,2.536
0.004,1.58E+08,2.26,2.527,2.615,3.08,3.038,2.946,2.867,2.593
0.004,1.78E+08,2.365,2.635,2.71,3.148,3.104,3.007,2.927,2.652
0.004,2.00E+08,2.468,2.745,2.806,3.217,3.169,3.065,2.982,2.702
0.004,2.24E+08,2.569,2.861,2.905,3.291,3.241,3.126,3.039,2.749
0.004,2.51E+08,2.672,2.984,3.013,3.378,3.323,3.196,3.102,2.795
0.004,2.82E+08,2.777,3.11,3.122,3.461,3.404,3.267,3.169,2.852
0.004,3.16E+08,2.886,3.242,3.241,3.545,3.486,3.342,3.242,2.918
0.004,3.55E+08,2.997,3.378,3.363,3.629,3.569,3.42,3.317,2.988
0.004,3.98E+08,3.108,3.514,3.483,3.711,3.649,3.494,3.391,3.06
0.004,4.47E+08,3.225,3.654,3.608,3.797,3.734,3.574,3.47,3.139
0.004,5.01E+08,3.338,3.798,3.734,3.885,3.819,3.653,3.546,3.212
0.004,5.62E+08,3.453,3.945,3.862,3.979,3.911,3.736,3.627,3.29
0.004,6.31E+08,3.567,4.092,3.99,4.075,4.005,3.821,3.709,3.366
0.004,7.08E+08,3.676,4.237,4.114,4.173,4.098,3.903,3.787,3.438
0.004,7.94E+08,3.78,4.384,4.237,4.275,4.195,3.985,3.863,3.503
0.004,8.91E+08,3.894,4.531,4.362,4.386,4.301,4.077,3.951,3.583
0.004,1.00E+09,3.999,4.673,4.478,4.497,4.404,4.163,4.03,3.653
0.004,1.12E+09,4.106,4.821,4.605,4.623,4.521,4.262,4.121,3.729
0.004,1.26E+09,4.181,4.959,4.716,4.741,4.627,4.342,4.189,3.77
0.004,1.41E+09,4.132,5.08,4.799,4.817,4.676,4.335,4.154,3.673
0.004,1.58E+09,4.322,5.313,5.04,5.062,4.916,4.559,4.368,3.86
0.004,1.78E+09,4.374,5.466,5.167,5.199,5.038,4.646,4.439,3.892
0.004,2.00E+09,4.456,5.623,5.301,5.347,5.173,4.755,4.534,3.959
0.004,2.24E+09,4.561,5.79,5.444,5.507,5.322,4.882,4.651,4.053
0.004,2.51E+09,4.608,5.947,5.565,5.63,5.428,4.955,4.71,4.084
0.004,2.82E+09,4.66,6.113,5.698,5.755,5.538,5.035,4.777,4.124
0.004,3.16E+09,4.791,6.244,5.827,5.889,5.671,5.168,4.91,4.255
0.004,3.55E+09,4.866,6.387,5.951,6.009,5.783,5.263,4.997,4.326
0.004,3.98E+09,4.989,6.534,6.09,6.152,5.922,5.395,5.127,4.448
0.004,4.47E+09,5.119,6.683,6.228,6.292,6.06,5.528,5.258,4.575
0.004,5.01E+09,5.228,6.829,6.36,6.423,6.185,5.645,5.371,4.68
0.004,5.62E+09,5.323,6.973,6.489,6.546,6.303,5.752,5.474,4.772
0.004,6.31E+09,5.417,7.119,6.62,6.67,6.422,5.86,5.578,4.865
0.004,7.08E+09,5.515,7.266,6.752,6.794,6.54,5.967,5.681,4.96
0.004,7.94E+09,5.607,7.41,6.878,6.912,6.653,6.07,5.781,5.049
0.004,8.91E+09,5.697,7.556,7.007,7.031,6.766,6.174,5.88,5.138
0.004,1.00E+10,5.794,7.707,7.14,7.154,6.884,6.282,5.985,5.233
0.004,1.12E+10,5.882,7.857,7.273,7.274,6.999,6.386,6.085,5.321
0.004,1.26E+10,5.956,7.992,7.391,7.375,7.095,6.473,6.168,5.394
