Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.004,2.24E+09,4.561,5.79,5.444,5.507,5.322,4.882,4.651,4.053
0.004,2.51E+09,4.608,5.947,5.565,5.63,5.428,4.955,4.71,4.084
0.004,2.82E+09,4.66,6.113,5.698,5.755,5.538,5.035,4.777,4.124
0.004,3.16E+09,4.791,6.244,5.827,5.889,5.671,5.168,4.91,4.255
0.004,3.55E+09,4.866,6.387,5.951,6.009,5.783,5.263,4.997,4.326
0.004,3.98E+09,4.989,6.534,6.09,6.152,5.922,5.395,5.127,4.448
0.004,4.47E+09,5.119,6.683,6.228,6.292,6.06,5.528,5.258,4.575
0.004,5.01E+09,5.228,6.829,6.36,6.423,6.185,5.645,5.371,4.68
0.004,5.62E+09,5.323,6.973,6.489,6.546,6.303,5.752,5.474,4.772
0.004,6.31E+09,5.417,7.119,6.62,6.67,6.422,5.86,5.578,4.865
0.004,7.08E+09,5.515,7.266,6.752,6.794,6.54,5.967,5.681,4.96
0.004,7.94E+09,5.607,7.41,6.878,6.912,6.653,6.07,5.781,5.049
0.004,8.91E+09,5.697,7.556,7.007,7.031,6.766,6.174,5.88,5.138
0.004,1.00E+10,5.794,7.707,7.14,7.154,6.884,6.282,5.985,5.233
0.004,1.12E+10,5.882,7.857,7.273,7.274,6.999,6.386,6.085,5.321
0.004,1.26E+10,5.956,7.992,7.391,7.375,7.095,6.473,6.168,5.394
