Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.04,8.91E+06,0.016,0.377,0.658,1.939,1.945,2.068,2.086,1.657
0.04,1.00E+07,0.123,0.463,0.738,1.991,1.995,2.111,2.126,1.651
0.04,1.12E+07,0.234,0.544,0.811,2.035,2.039,2.147,2.16,1.669
0.04,1.26E+07,0.342,0.631,0.89,2.084,2.086,2.185,2.194,1.677
0.04,1.41E+07,0.449,0.715,0.967,2.129,2.128,2.215,2.218,1.683
0.04,1.58E+07,0.563,0.809,1.053,2.18,2.177,2.247,2.243,1.705
0.04,1.78E+07,0.679,0.899,1.134,2.227,2.223,2.283,2.273,1.762
0.04,2.00E+07,0.789,0.987,1.214,2.273,2.268,2.32,2.305,1.818
0.04,2.24E+07,0.9,1.078,1.296,2.321,2.315,2.359,2.339,1.873
0.04,2.51E+07,1.008,1.171,1.379,2.369,2.362,2.397,2.372,1.921
0.04,2.82E+07,1.12,1.264,1.461,2.416,2.408,2.439,2.411,1.988
0.04,3.16E+07,1.224,1.36,1.546,2.465,2.454,2.473,2.439,2.022
0.04,3.55E+07,1.333,1.456,1.631,2.513,2.501,2.513,2.474,2.077
0.04,3.98E+07,1.44,1.554,1.717,2.561,2.548,2.552,2.51,2.129
0.04,4.47E+07,1.549,1.658,1.808,2.613,2.598,2.595,2.55,2.182
0.04,5.01E+07,1.66,1.76,1.898,2.663,2.649,2.642,2.595,2.25
0.04,5.62E+07,1.766,1.869,1.993,2.717,2.701,2.687,2.637,2.3
0.04,6.31E+07,1.873,1.979,2.089,2.772,2.755,2.737,2.686,2.364
0.04,7.08E+07,1.98,2.093,2.19,2.828,2.81,2.787,2.734,2.422
0.04,7.94E+07,2.085,2.21,2.293,2.884,2.864,2.834,2.778,2.473
0.04,8.91E+07,2.191,2.332,2.4,2.942,2.921,2.886,2.829,2.528
0.04,1.00E+08,2.298,2.459,2.512,3.002,2.98,2.938,2.88,2.582
0.04,1.12E+08,2.404,2.591,2.63,3.065,3.041,2.993,2.933,2.639
0.04,1.26E+08,2.512,2.729,2.754,3.131,3.105,3.051,2.99,2.699
0.04,1.41E+08,2.616,2.871,2.881,3.198,3.171,3.109,3.046,2.754
0.04,1.58E+08,2.723,3.018,3.013,3.269,3.239,3.169,3.104,2.813
0.04,1.78E+08,2.83,3.169,3.148,3.343,3.311,3.233,3.166,2.874
0.04,2.00E+08,2.937,3.324,3.285,3.421,3.387,3.3,3.229,2.936
0.04,2.24E+08,3.045,3.48,3.422,3.502,3.465,3.368,3.295,2.999
